fact_date,tool_group_id,availability,performance,quality,oee,available_hours
2026-05-12,DEPO_08,0.733,0.9462,0.9819,0.681,52.78
2026-05-12,DEPO_09,0.8791,0.9045,0.9912,0.7881,63.3
2026-05-12,DEPO_10,0.9274,0.8891,0.9841,0.8114,200.32
2026-05-12,CMP_01,0.8314,0.8648,0.9737,0.7001,139.68
2026-05-12,CMP_02,0.9231,0.9581,0.9851,0.8712,155.08
2026-05-12,CMP_03,0.9163,0.9406,0.9736,0.8391,131.95
2026-05-12,CMP_04,0.9016,0.952,0.9875,0.8476,259.66
2026-05-12,CMP_05,0.9394,0.9483,0.9835,0.8761,248.0
2026-05-12,CMP_06,0.9335,0.9189,0.9712,0.8331,224.04
2026-05-12,IMPL_01,0.8718,0.8902,0.9732,0.7553,83.69
2026-05-12,IMPL_02,0.8728,0.8883,0.9769,0.7574,125.68
2026-05-12,IMPL_03,0.7853,0.9285,0.98,0.7146,226.17
2026-05-12,IMPL_04,0.8391,0.9464,0.9894,0.7857,100.69
2026-05-12,IMPL_05,0.7996,0.8895,0.9723,0.6915,38.38
2026-05-12,DIFF_01,0.833,0.9532,0.9781,0.7766,39.98
2026-05-12,DIFF_02,0.8668,0.8398,0.9864,0.718,166.43
2026-05-12,DIFF_03,0.818,0.9224,0.9828,0.7415,98.16
2026-05-12,DIFF_04,0.948,0.8676,0.9498,0.7812,250.27
2026-05-12,DIFF_05,0.8892,0.99,0.9924,0.8736,149.39
2026-05-12,DIFF_06,0.8905,0.9003,0.9881,0.7922,192.35
2026-05-12,DIFF_07,0.8313,0.9391,0.9851,0.769,239.41
2026-05-12,DIFF_08,0.933,0.99,0.9839,0.9088,134.35
2026-05-12,METRO_01,0.8546,0.919,0.9623,0.7558,205.1
2026-05-12,METRO_02,0.8453,0.9036,0.9748,0.7446,223.16
2026-05-12,METRO_03,0.8876,0.8871,0.9912,0.7805,234.33
2026-05-12,METRO_04,0.88,0.9196,0.9767,0.7904,105.6
2026-05-12,WET_01,0.8878,0.953,0.9713,0.8218,85.23
2026-05-12,WET_02,0.8471,0.9079,0.9665,0.7433,60.99
2026-05-12,WET_03,0.839,0.901,0.9887,0.7474,60.41
2026-05-12,WET_04,0.8931,0.9277,0.9885,0.819,85.74
2026-05-12,WET_05,0.8731,0.9356,0.979,0.7997,167.64
2026-05-12,WET_06,0.8933,0.8967,0.9556,0.7655,171.51
2026-05-12,WET_07,0.8733,0.9769,0.9893,0.844,188.63
2026-05-11,LITHO_01,0.9283,0.9694,0.9809,0.8827,267.35
2026-05-11,LITHO_02,0.8899,0.8953,0.9768,0.7782,128.15
2026-05-11,LITHO_03,0.9108,0.9682,0.9786,0.863,87.44
2026-05-11,LITHO_04,0.8575,0.92,0.986,0.7779,246.96
2026-05-11,LITHO_05,0.8078,0.8282,0.9745,0.652,193.87
2026-05-11,LITHO_06,0.819,0.8997,0.9785,0.721,157.25
2026-05-11,LITHO_07,0.8573,0.9781,0.9833,0.8245,61.73
2026-05-11,LITHO_08,0.895,0.9449,0.9686,0.8191,214.8
2026-05-11,ETCH_01,0.932,0.917,0.9867,0.8433,223.68
2026-05-11,ETCH_02,0.8264,0.8578,0.9882,0.7005,238.0
2026-05-11,ETCH_03,0.8988,0.8839,0.9713,0.7716,172.57
2026-05-11,ETCH_04,0.9363,0.8724,0.9964,0.8139,247.18
2026-05-11,ETCH_05,0.835,0.9455,0.9767,0.7711,40.08
2026-05-11,ETCH_06,0.9102,0.8982,0.9784,0.7999,87.38
2026-05-11,ETCH_07,0.882,0.8799,0.9874,0.7663,148.18
2026-05-11,ETCH_08,0.8543,0.9109,0.9701,0.7549,102.52
2026-05-11,ETCH_09,0.7519,0.9124,1.0,0.686,126.32
2026-05-11,ETCH_10,0.9192,0.9192,0.9774,0.8258,176.49
2026-05-11,ETCH_11,0.8811,0.9419,0.9682,0.8035,148.02
2026-05-11,ETCH_12,0.9357,0.9486,0.9872,0.8762,44.91
2026-05-11,DEPO_01,0.9019,0.9208,0.9867,0.8194,216.46
2026-05-11,DEPO_02,0.9096,0.9058,0.9743,0.8027,174.64
2026-05-11,DEPO_03,0.8851,0.982,0.9676,0.841,127.45
2026-05-11,DEPO_04,0.8066,0.9266,0.9805,0.7328,212.94
2026-05-11,DEPO_05,0.8887,0.9298,0.9778,0.808,149.3
2026-05-11,DEPO_06,0.9545,0.856,0.9717,0.7939,68.72
2026-05-11,DEPO_07,0.8748,0.8543,0.9782,0.731,104.98
2026-05-11,DEPO_08,0.9631,0.9208,0.9823,0.8711,69.34
2026-05-11,DEPO_09,0.817,0.8953,0.9762,0.7141,58.82
2026-05-11,DEPO_10,0.8641,0.9713,0.9856,0.8272,186.65
2026-05-11,CMP_01,0.8244,0.9299,0.985,0.7551,138.5
2026-05-11,CMP_02,0.937,0.9832,0.9698,0.8934,157.42
2026-05-11,CMP_03,0.8395,0.8697,0.9777,0.7138,120.89
2026-05-11,CMP_04,0.9033,0.9595,0.9792,0.8487,260.15
2026-05-11,CMP_05,0.864,0.9261,0.9716,0.7774,228.1
2026-05-11,CMP_06,0.9845,0.8557,0.9818,0.8271,236.28
2026-05-11,IMPL_01,0.9812,0.9203,0.9781,0.8832,94.2
2026-05-11,IMPL_02,0.8621,0.9128,0.9937,0.782,124.14
2026-05-11,IMPL_03,0.7694,0.9813,0.9658,0.7292,221.59
2026-05-11,IMPL_04,0.8667,0.9028,0.9859,0.7714,104.0
2026-05-11,IMPL_05,0.8001,0.9385,1.0,0.7509,38.4
2026-05-11,DIFF_01,0.8118,0.9276,0.9734,0.733,38.97
2026-05-11,DIFF_02,0.9013,0.9208,0.9736,0.808,173.05
2026-05-11,DIFF_03,0.9044,0.99,0.9781,0.8757,108.53
2026-05-11,DIFF_04,0.916,0.8683,0.9704,0.7718,241.82
2026-05-11,DIFF_05,0.9036,0.9794,0.9836,0.8705,151.8
2026-05-11,DIFF_06,0.8643,0.92,0.9675,0.7693,186.69
2026-05-11,DIFF_07,0.9102,0.9553,0.9755,0.8482,262.14
2026-05-11,DIFF_08,0.8565,0.9306,0.9756,0.7776,123.34
2026-05-11,METRO_01,0.8767,0.99,0.9775,0.8484,210.41
2026-05-11,METRO_02,0.8621,0.8941,0.9874,0.7611,227.59
2026-05-11,METRO_03,0.8709,0.894,0.9932,0.7733,229.92
2026-05-11,METRO_04,0.951,0.896,0.9613,0.8191,114.12
2026-05-11,WET_01,0.9304,0.8926,0.9879,0.8204,89.32
2026-05-11,WET_02,0.7815,0.9557,0.9679,0.7229,56.27
2026-05-11,WET_03,0.9165,0.9206,0.9705,0.8188,65.99
2026-05-11,WET_04,0.8596,0.9475,0.9811,0.7991,82.52
2026-05-11,WET_05,0.9092,0.99,0.9644,0.8681,174.57
2026-05-11,WET_06,0.9609,0.9242,0.971,0.8623,184.49
2026-05-11,WET_07,0.8135,0.9124,0.9892,0.7342,175.72
2026-05-10,LITHO_01,0.8736,0.9804,0.9655,0.8269,251.6
2026-05-10,LITHO_02,0.8794,0.8699,0.9836,0.7524,126.63
2026-05-10,LITHO_03,0.9243,0.9032,0.954,0.7964,88.73
2026-05-10,LITHO_04,0.8899,0.9375,0.984,0.8209,256.29
2026-05-10,LITHO_05,0.9418,0.8772,0.9868,0.8152,226.03
2026-05-10,LITHO_06,0.9396,0.8489,0.9832,0.7842,180.4
2026-05-10,LITHO_07,0.8548,0.9167,0.9835,0.7707,61.55
2026-05-10,LITHO_08,0.8556,0.893,0.9803,0.749,205.34
2026-05-10,ETCH_01,0.8256,0.8766,0.9868,0.7142,198.14
2026-05-10,ETCH_02,0.8226,0.9467,0.9846,0.7668,236.91
2026-05-10,ETCH_03,0.7937,0.8929,0.9919,0.703,152.39
2026-05-10,ETCH_04,0.8309,0.9014,0.9846,0.7374,219.36
2026-05-10,ETCH_05,0.9192,0.9099,0.974,0.8146,44.12
2026-05-10,ETCH_06,0.9511,0.9896,0.9898,0.9316,91.31
2026-05-10,ETCH_07,0.8843,0.8877,0.9717,0.7628,148.56
2026-05-10,ETCH_08,0.9061,0.9367,0.994,0.8437,108.73
2026-05-10,ETCH_09,0.9125,0.8599,0.9905,0.7772,153.3
2026-05-10,ETCH_10,0.8301,0.9046,0.9825,0.7378,159.38
2026-05-10,ETCH_11,0.9798,0.99,0.9861,0.9565,164.61
2026-05-10,ETCH_12,0.8708,0.9414,0.9889,0.8107,41.8
2026-05-10,DEPO_01,0.864,0.99,0.9823,0.8402,207.36
2026-05-10,DEPO_02,0.9049,0.9466,0.9842,0.843,173.74
2026-05-10,DEPO_03,0.9219,0.8953,0.9744,0.8042,132.75
2026-05-10,DEPO_04,0.825,0.9376,0.9878,0.7641,217.8
2026-05-10,DEPO_05,0.9029,0.987,0.9799,0.8732,151.69
2026-05-10,DEPO_06,0.9134,0.8763,0.9761,0.7813,65.76
2026-05-10,DEPO_07,0.9148,0.954,0.9771,0.8527,109.78
2026-05-10,DEPO_08,0.8764,0.8593,0.9764,0.7353,63.1
2026-05-10,DEPO_09,0.9245,0.943,0.985,0.8587,66.56
2026-05-10,DEPO_10,0.8825,0.9203,0.9734,0.7906,190.62
2026-05-10,CMP_01,0.9149,0.9368,0.9849,0.8441,153.7
2026-05-10,CMP_02,0.8537,0.8339,0.991,0.7055,143.42
2026-05-10,CMP_03,0.8561,0.8855,0.9869,0.7481,123.28
2026-05-10,CMP_04,0.8604,0.9624,0.9862,0.8166,247.8
2026-05-10,CMP_05,0.9142,0.8654,0.9921,0.7849,241.35
2026-05-10,CMP_06,0.8931,0.9052,0.9814,0.7934,214.34
2026-05-10,IMPL_01,0.7912,0.9363,0.9697,0.7184,75.96
2026-05-10,IMPL_02,0.8124,0.8591,0.9911,0.6917,116.99
2026-05-10,IMPL_03,0.8485,0.9813,0.9746,0.8115,244.37
2026-05-10,IMPL_04,0.7946,0.8753,0.9924,0.6902,95.35
2026-05-10,IMPL_05,0.8722,0.8981,0.9816,0.7689,41.87
2026-05-10,DIFF_01,0.9051,0.9647,0.9945,0.8683,43.44
2026-05-10,DIFF_02,0.862,0.867,0.9759,0.7293,165.5
2026-05-10,DIFF_03,0.893,0.8814,0.9704,0.7638,107.16
2026-05-10,DIFF_04,0.8972,0.9181,0.9803,0.8075,236.86
2026-05-10,DIFF_05,0.8421,0.9108,0.9708,0.7446,141.47
2026-05-10,DIFF_06,0.9245,0.9614,0.9615,0.8546,199.69
2026-05-10,DIFF_07,0.8335,0.8601,0.9735,0.6979,240.05
2026-05-10,DIFF_08,0.8758,0.862,0.9708,0.7329,126.12
2026-05-10,METRO_01,0.8298,0.9283,0.9807,0.7554,199.15
2026-05-10,METRO_02,0.8439,0.9271,0.9745,0.7624,222.79
2026-05-10,METRO_03,0.8664,0.9869,0.9934,0.8494,228.73
2026-05-10,METRO_04,0.815,0.9532,0.9881,0.7676,97.8
2026-05-10,WET_01,0.8226,0.9528,0.9954,0.7802,78.97
2026-05-10,WET_02,0.8239,0.8833,0.9902,0.7206,59.32
2026-05-10,WET_03,0.8936,0.9421,0.9834,0.8279,64.34
2026-05-10,WET_04,0.8995,0.8669,0.9905,0.7724,86.35
2026-05-10,WET_05,0.9385,0.9108,0.9796,0.8373,180.19
2026-05-10,WET_06,0.8034,0.9406,0.9857,0.7449,154.25
2026-05-10,WET_07,0.8769,0.965,0.9767,0.8265,189.41
2026-05-09,LITHO_01,0.9082,0.8792,0.9798,0.7824,261.56
2026-05-09,LITHO_02,0.8713,0.929,0.9763,0.7903,125.47
2026-05-09,LITHO_03,0.8734,0.953,0.9756,0.812,83.85
2026-05-09,LITHO_04,0.7997,0.99,0.9938,0.7868,230.31
2026-05-09,LITHO_05,0.8154,0.9476,0.975,0.7534,195.7
2026-05-09,LITHO_06,0.8932,0.9318,0.9777,0.8137,171.49
2026-05-09,LITHO_07,0.8408,0.8924,0.9708,0.7284,60.54
2026-05-09,LITHO_08,0.8384,0.9173,0.9728,0.7481,201.22
2026-05-09,ETCH_01,0.9141,0.9795,0.9742,0.8723,219.38
2026-05-09,ETCH_02,0.892,0.94,0.9847,0.8257,256.9
2026-05-09,ETCH_03,0.8838,0.9497,0.9848,0.8266,169.69
2026-05-09,ETCH_04,0.8181,0.9548,0.9889,0.7725,215.98
2026-05-09,ETCH_05,0.8418,0.9215,0.9868,0.7655,40.41
2026-05-09,ETCH_06,0.8695,0.9629,1.0,0.8372,83.47
2026-05-09,ETCH_07,0.8407,0.8648,0.983,0.7147,141.24
2026-05-09,ETCH_08,0.9161,0.9108,0.9945,0.8298,109.93
2026-05-09,ETCH_09,0.8131,0.9477,0.9739,0.7505,136.6
2026-05-09,ETCH_10,0.966,0.99,0.9723,0.9298,185.47
2026-05-09,ETCH_11,0.8525,0.9544,0.9761,0.7942,143.22
2026-05-09,ETCH_12,0.8777,0.921,0.9608,0.7767,42.13
2026-05-09,DEPO_01,0.8793,0.8924,0.9751,0.7651,211.03
2026-05-09,DEPO_02,0.9522,0.8697,0.9881,0.8183,182.82
2026-05-09,DEPO_03,0.8661,0.9088,0.9879,0.7776,124.72
2026-05-09,DEPO_04,0.897,0.9428,0.9897,0.837,236.81
2026-05-09,DEPO_05,0.8634,0.8955,0.9691,0.7493,145.05
2026-05-09,DEPO_06,0.8387,0.99,0.9924,0.824,60.39
2026-05-09,DEPO_07,0.8124,0.8671,0.9848,0.6937,97.49
2026-05-09,DEPO_08,0.9074,0.942,0.9775,0.8355,65.33
2026-05-09,DEPO_09,0.8737,0.9331,0.9809,0.7997,62.91
2026-05-09,DEPO_10,0.769,0.9108,0.9715,0.6804,166.1
2026-05-09,CMP_01,0.8888,0.99,0.9837,0.8656,149.32
2026-05-09,CMP_02,0.8643,0.9569,0.9848,0.8145,145.2
2026-05-09,CMP_03,0.901,0.9443,1.0,0.8508,129.74
2026-05-09,CMP_04,0.8235,0.9389,0.9707,0.7505,237.17
2026-05-09,CMP_05,0.9078,0.8833,0.9758,0.7825,239.66
2026-05-09,CMP_06,0.8652,0.959,0.9892,0.8208,207.65
2026-05-09,IMPL_01,0.8177,0.9222,0.9729,0.7336,78.5
2026-05-09,IMPL_02,0.8171,0.9113,0.9769,0.7274,117.66
2026-05-09,IMPL_03,0.99,0.9373,0.9662,0.8966,285.12
2026-05-09,IMPL_04,0.8518,0.9609,1.0,0.8185,102.22
2026-05-09,IMPL_05,0.8007,0.8448,0.9987,0.6756,38.43
2026-05-09,DIFF_01,0.8995,0.8853,0.9853,0.7846,43.18
2026-05-09,DIFF_02,0.7482,0.9201,0.9833,0.6769,143.65
2026-05-09,DIFF_03,0.9262,0.8794,0.9809,0.7989,111.14
2026-05-09,DIFF_04,0.8337,0.9302,0.971,0.753,220.1
2026-05-09,DIFF_05,0.8596,0.8802,0.9865,0.7464,144.41
2026-05-09,DIFF_06,0.9229,0.9106,0.9804,0.8239,199.35
2026-05-09,DIFF_07,0.8076,0.908,0.9795,0.7183,232.59
2026-05-09,DIFF_08,0.99,0.8755,0.9946,0.8621,142.56
2026-05-09,METRO_01,0.9298,0.9312,0.9976,0.8638,223.15
2026-05-09,METRO_02,0.8986,0.9356,0.9795,0.8235,237.23
2026-05-09,METRO_03,0.9412,0.9639,0.9737,0.8834,248.48
2026-05-09,METRO_04,0.814,0.9119,0.972,0.7215,97.68
2026-05-09,WET_01,0.8768,0.9695,0.9754,0.8291,84.17
2026-05-09,WET_02,0.8779,0.9223,0.9885,0.8004,63.21
2026-05-09,WET_03,0.7677,0.8957,0.9821,0.6753,55.27
2026-05-09,WET_04,0.94,0.9003,0.9612,0.8134,90.24
2026-05-09,WET_05,0.911,0.8946,0.9681,0.789,174.91
2026-05-09,WET_06,0.8488,0.9126,0.974,0.7545,162.97
2026-05-09,WET_07,0.7697,0.9559,0.9927,0.7304,166.26
2026-05-08,LITHO_01,0.9126,0.8745,0.978,0.7805,262.83
2026-05-08,LITHO_02,0.8797,0.944,0.9867,0.8194,126.68
2026-05-08,LITHO_03,0.8433,0.9233,0.9846,0.7666,80.96
2026-05-08,LITHO_04,0.9528,0.9482,0.9879,0.8925,274.41
2026-05-08,LITHO_05,0.8842,0.9764,0.9841,0.8496,212.21
2026-05-08,LITHO_06,0.8369,0.9761,0.987,0.8063,160.68
2026-05-08,LITHO_07,0.8578,0.9008,0.983,0.7596,61.76
2026-05-08,LITHO_08,0.9032,0.9279,0.9831,0.8239,216.77
2026-05-08,ETCH_01,0.965,0.9629,0.9819,0.9124,231.6
2026-05-08,ETCH_02,0.9271,0.8787,0.984,0.8016,267.0
2026-05-08,ETCH_03,0.9705,0.9113,0.9715,0.8592,186.34
2026-05-08,ETCH_04,0.8474,0.8764,0.9722,0.722,223.71
2026-05-08,ETCH_05,0.8615,0.8638,0.9802,0.7294,41.35
2026-05-08,ETCH_06,0.9251,0.8837,0.9952,0.8136,88.81
2026-05-08,ETCH_07,0.9055,0.9612,0.9734,0.8472,152.12
2026-05-08,ETCH_08,0.9227,0.8763,0.9889,0.7996,110.72
2026-05-08,ETCH_09,0.8886,0.9421,0.9682,0.8105,149.28
2026-05-08,ETCH_10,0.8352,0.9439,0.9705,0.7651,160.36
2026-05-08,ETCH_11,0.9032,0.8653,0.9885,0.7726,151.74
2026-05-08,ETCH_12,0.8184,0.9421,0.9863,0.7605,39.28
2026-05-08,DEPO_01,0.8452,0.9433,0.9826,0.7834,202.85
2026-05-08,DEPO_02,0.8531,0.8797,0.9604,0.7208,163.8
2026-05-08,DEPO_03,0.8975,0.8574,0.981,0.7549,129.24
2026-05-08,DEPO_04,0.8668,0.9472,0.977,0.8021,228.84
2026-05-08,DEPO_05,0.8635,0.9493,0.9834,0.8061,145.07
2026-05-08,DEPO_06,0.8958,0.9388,0.9646,0.8112,64.5
2026-05-08,DEPO_07,0.9178,0.9445,0.9698,0.8407,110.14
2026-05-08,DEPO_08,0.8678,0.9184,0.9787,0.78,62.48
2026-05-08,DEPO_09,0.8967,0.9773,0.9908,0.8683,64.56
2026-05-08,DEPO_10,0.8144,0.9449,0.9933,0.7644,175.91
2026-05-08,CMP_01,0.8993,0.9636,1.0,0.8666,151.08
2026-05-08,CMP_02,0.9312,0.93,0.9905,0.8578,156.44
2026-05-08,CMP_03,0.8872,0.921,0.9765,0.7979,127.76
2026-05-08,CMP_04,0.9582,0.8873,0.9953,0.8462,275.96
2026-05-08,CMP_05,0.905,0.864,0.9837,0.7692,238.92
2026-05-08,CMP_06,0.775,0.945,0.9889,0.7242,186.0
2026-05-08,IMPL_01,0.8504,0.9249,0.9995,0.7861,81.64
2026-05-08,IMPL_02,0.8547,0.8776,0.9948,0.7462,123.08
2026-05-08,IMPL_03,0.9781,0.9201,0.9901,0.891,281.69
2026-05-08,IMPL_04,0.9471,0.8903,0.9751,0.8222,113.65
2026-05-08,IMPL_05,0.9415,0.9874,0.9856,0.9163,45.19
2026-05-08,DIFF_01,0.836,0.99,0.9747,0.8067,40.13
2026-05-08,DIFF_02,0.8632,0.9337,0.9955,0.8023,165.73
2026-05-08,DIFF_03,0.9227,0.9366,0.9846,0.8509,110.72
2026-05-08,DIFF_04,0.8822,0.9423,0.9547,0.7936,232.9
2026-05-08,DIFF_05,0.8652,0.9297,0.9685,0.779,145.35
2026-05-08,DIFF_06,0.8993,0.9118,0.9976,0.818,194.25
2026-05-08,DIFF_07,0.9587,0.9014,0.9785,0.8456,276.11
2026-05-08,DIFF_08,0.8763,0.9019,0.982,0.7761,126.19
2026-05-08,METRO_01,0.8421,0.8748,0.9862,0.7265,202.1
2026-05-08,METRO_02,0.9115,0.8878,0.989,0.8003,240.64
2026-05-08,METRO_03,0.8484,0.9301,0.9882,0.7798,223.98
2026-05-08,METRO_04,0.8783,0.9382,0.9748,0.8033,105.4
2026-05-08,WET_01,0.8702,0.9118,0.9725,0.7716,83.54
2026-05-08,WET_02,0.8712,0.8581,0.9751,0.729,62.73
2026-05-08,WET_03,0.8658,0.9098,0.9776,0.7701,62.34
2026-05-08,WET_04,0.8769,0.9392,0.9887,0.8143,84.18
2026-05-08,WET_05,0.8475,0.8719,0.9696,0.7165,162.72
2026-05-08,WET_06,0.8556,0.9059,0.9723,0.7536,164.28
2026-05-08,WET_07,0.8152,0.9018,0.9818,0.7218,176.08
2026-05-07,LITHO_01,0.9098,0.8977,0.9759,0.797,262.02
2026-05-07,LITHO_02,0.8337,0.9187,0.9715,0.7441,120.05
2026-05-07,LITHO_03,0.9087,0.8486,0.9764,0.7529,87.24
2026-05-07,LITHO_04,0.8951,0.9274,1.0,0.8301,257.79
2026-05-07,LITHO_05,0.8975,0.8798,0.979,0.773,215.4
2026-05-07,LITHO_06,0.7912,0.9168,0.9717,0.7048,151.91
2026-05-07,LITHO_07,0.9258,0.898,0.9788,0.8137,66.66
2026-05-07,LITHO_08,0.8482,0.9896,0.9768,0.8199,203.57
2026-05-07,ETCH_01,0.9716,0.9526,0.9848,0.9115,233.18
2026-05-07,ETCH_02,0.8984,0.9358,0.9607,0.8077,258.74
2026-05-07,ETCH_03,0.8661,0.9538,0.9795,0.8092,166.29
2026-05-07,ETCH_04,0.8097,0.9179,0.997,0.741,213.76
2026-05-07,ETCH_05,0.9423,0.9175,0.9895,0.8555,45.23
2026-05-07,ETCH_06,0.8617,0.8518,0.9708,0.7126,82.72
2026-05-07,ETCH_07,0.9581,0.909,0.9776,0.8514,160.96
2026-05-07,ETCH_08,0.865,0.99,0.9963,0.8532,103.8
2026-05-07,ETCH_09,0.99,0.9136,0.983,0.8891,166.32
2026-05-07,ETCH_10,0.8042,0.9791,0.9683,0.7624,154.41
2026-05-07,ETCH_11,0.8908,0.8761,0.9741,0.7602,149.65
2026-05-07,ETCH_12,0.8381,0.8957,0.9746,0.7316,40.23
2026-05-07,DEPO_01,0.8526,0.9533,0.969,0.7876,204.62
2026-05-07,DEPO_02,0.891,0.9687,0.9749,0.8414,171.07
2026-05-07,DEPO_03,0.8441,0.9108,0.9918,0.7625,121.55
2026-05-07,DEPO_04,0.8897,0.8988,0.9848,0.7875,234.88
2026-05-07,DEPO_05,0.8249,0.9473,0.9841,0.769,138.58
2026-05-07,DEPO_06,0.8646,0.8865,0.9711,0.7443,62.25
2026-05-07,DEPO_07,0.9067,0.9692,0.9736,0.8556,108.8
2026-05-07,DEPO_08,0.9029,0.8365,0.9742,0.7358,65.01
2026-05-07,DEPO_09,0.8784,0.8836,0.9706,0.7533,63.24
2026-05-07,DEPO_10,0.8466,0.9317,0.9781,0.7715,182.87
2026-05-07,CMP_01,0.7681,0.8352,0.9739,0.6248,129.04
2026-05-07,CMP_02,0.9029,0.8101,0.975,0.7132,151.69
2026-05-07,CMP_03,0.8537,0.9755,0.9761,0.8129,122.93
2026-05-07,CMP_04,0.8991,0.9257,0.9587,0.7979,258.94
2026-05-07,CMP_05,0.9184,0.9286,0.9851,0.8401,242.46
2026-05-07,CMP_06,0.99,0.8366,0.9972,0.8259,237.6
2026-05-07,IMPL_01,0.8656,0.9315,0.9795,0.7898,83.1
2026-05-07,IMPL_02,0.8588,0.8972,0.9833,0.7576,123.67
2026-05-07,IMPL_03,0.8041,0.95,0.9758,0.7454,231.58
2026-05-07,IMPL_04,0.8235,0.902,0.9926,0.7373,98.82
2026-05-07,IMPL_05,0.8532,0.9343,0.9727,0.7754,40.95
2026-05-07,DIFF_01,0.9179,0.9474,0.9985,0.8683,44.06
2026-05-07,DIFF_02,0.8712,0.9467,0.981,0.8091,167.27
2026-05-07,DIFF_03,0.9448,0.8912,0.9875,0.8315,113.38
2026-05-07,DIFF_04,0.8703,0.9174,0.9809,0.7832,229.76
2026-05-07,DIFF_05,0.8926,0.9154,0.9821,0.8025,149.96
2026-05-07,DIFF_06,0.9589,0.9594,0.9887,0.9096,207.12
2026-05-07,DIFF_07,0.8572,0.8844,0.9896,0.7502,246.87
2026-05-07,DIFF_08,0.9238,0.9789,0.974,0.8808,133.03
2026-05-07,METRO_01,0.8685,0.8544,0.9761,0.7243,208.44
2026-05-07,METRO_02,0.9298,0.9013,0.9864,0.8266,245.47
2026-05-07,METRO_03,0.8705,0.933,0.9685,0.7866,229.81
2026-05-07,METRO_04,0.8843,0.8004,0.9781,0.6923,106.12
2026-05-07,WET_01,0.7985,0.9682,0.9878,0.7637,76.66
2026-05-07,WET_02,0.9033,0.9808,0.9705,0.8598,65.04
2026-05-07,WET_03,0.9674,0.9573,0.9776,0.9053,69.65
2026-05-07,WET_04,0.9368,0.8757,0.9718,0.7972,89.93
2026-05-07,WET_05,0.8496,0.8988,0.9694,0.7403,163.12
2026-05-07,WET_06,0.9412,0.9096,0.9835,0.842,180.71
2026-05-07,WET_07,0.8515,0.8472,0.9827,0.7089,183.92
2026-05-06,LITHO_01,0.7844,0.9173,0.9663,0.6953,225.91
2026-05-06,LITHO_02,0.9794,0.9565,0.9811,0.9191,141.03
2026-05-06,LITHO_03,0.9432,0.8861,0.9854,0.8236,90.55
2026-05-06,LITHO_04,0.89,0.9306,0.9927,0.8222,256.32
2026-05-06,LITHO_05,0.9166,0.9315,0.9635,0.8226,219.98
2026-05-06,LITHO_06,0.832,0.9151,0.9809,0.7468,159.74
2026-05-06,LITHO_07,0.8235,0.99,0.9952,0.8114,59.29
2026-05-06,LITHO_08,0.9101,0.9229,0.9779,0.8214,218.42
2026-05-06,ETCH_01,0.8324,0.9231,0.9826,0.755,199.78
2026-05-06,ETCH_02,0.8179,0.9334,0.9784,0.7469,235.56
2026-05-06,ETCH_03,0.7846,0.8856,0.9759,0.6781,150.64
2026-05-06,ETCH_04,0.9744,0.9423,0.9666,0.8875,257.24
2026-05-06,ETCH_05,0.9043,0.8581,0.9908,0.7688,43.41
2026-05-06,ETCH_06,0.8564,0.9163,0.9933,0.7795,82.21
2026-05-06,ETCH_07,0.8156,0.8641,0.9742,0.6866,137.02
